Designator,Mid X,Mid Y,Rotation,Layer
D1,106.5,-105.0,180.0,bottom
D10,144.5,-86.0,180.0,bottom
D11,144.5,-67.0,180.0,bottom
D12,144.5,-48.0,180.0,bottom
D13,163.5,-105.0,180.0,bottom
D14,163.5,-86.0,180.0,bottom
D15,163.5,-67.0,180.0,bottom
D16,163.5,-48.0,180.0,bottom
D17,182.5,-105.0,180.0,bottom
D18,182.5,-86.0,180.0,bottom
D19,182.5,-67.0,180.0,bottom
D2,106.5,-86.0,180.0,bottom
D20,182.5,-48.0,180.0,bottom
D21,201.5,-105.0,180.0,bottom
D22,201.5,-86.0,180.0,bottom
D23,201.5,-67.0,180.0,bottom
D24,201.5,-48.0,180.0,bottom
D25,220.5,-105.0,180.0,bottom
D26,220.5,-86.0,180.0,bottom
D27,220.5,-67.0,180.0,bottom
D28,220.5,-48.0,180.0,bottom
D29,239.5,-105.0,180.0,bottom
D3,106.5,-67.0,180.0,bottom
D30,239.5,-86.0,180.0,bottom
D31,239.5,-67.0,180.0,bottom
D32,239.5,-48.0,180.0,bottom
D33,258.5,-105.0,180.0,bottom
D34,258.5,-86.0,180.0,bottom
D35,258.5,-67.0,180.0,bottom
D36,258.5,-48.0,180.0,bottom
D37,213.193227,-134.652103,140.0,bottom
D4,106.5,-48.0,180.0,bottom
D5,125.5,-105.0,180.0,bottom
D6,125.5,-86.0,180.0,bottom
D7,125.5,-67.0,180.0,bottom
D8,125.5,-48.0,180.0,bottom
D9,144.5,-105.0,180.0,bottom
MH1,109.5,-52.5,0.0,top
MH2,166.5,-52.5,0.0,top
MH3,223.5,-52.5,0.0,top
MH4,223.5,-90.5,0.0,top
MH5,166.5,-90.5,0.0,top
MH6,109.5,-90.5,0.0,top
MH7,192.144248,-119.679111,40.0,top
MH8,227.418727,-119.713055,40.0,top
S1,101.61205,-97.13225,0.0,top
S10,139.61205,-78.13225,0.0,top
S11,139.61205,-59.13225,0.0,top
S12,139.61205,-40.13225,0.0,top
S13,158.61205,-97.13225,0.0,top
S14,158.61205,-78.13225,0.0,top
S15,158.61205,-59.13225,0.0,top
S16,158.61205,-40.13225,0.0,top
S17,177.61205,-97.13225,0.0,top
S18,177.61205,-78.13225,0.0,top
S19,177.61205,-59.13225,0.0,top
S2,101.61205,-78.13225,0.0,top
S20,177.61205,-40.13225,0.0,top
S21,196.61205,-97.13225,0.0,top
S22,196.61205,-78.13225,0.0,top
S23,196.61205,-59.13225,0.0,top
S24,196.61205,-40.13225,0.0,top
S25,215.61205,-97.13225,0.0,top
S26,215.61205,-78.13225,0.0,top
S27,215.61205,-59.13225,0.0,top
S28,215.61205,-40.13225,0.0,top
S29,234.61205,-97.13225,0.0,top
S3,101.61205,-59.13225,0.0,top
S30,234.61205,-78.13225,0.0,top
S31,234.61205,-59.13225,0.0,top
S32,234.61205,-40.13225,0.0,top
S33,253.61205,-97.13225,0.0,top
S34,253.61205,-78.13225,0.0,top
S35,253.61205,-59.13225,0.0,top
S36,253.61205,-40.13225,0.0,top
S37,204.39154777685138,-131.76697028205038,40.0,top
S4,101.61205,-40.13225,0.0,top
S5,120.61205,-97.13225,0.0,top
S6,120.61205,-78.13225,0.0,top
S7,120.61205,-59.13225,0.0,top
S8,120.61205,-40.13225,0.0,top
S9,139.61205,-97.13225,0.0,top
